mkt_email,next_mnth_pv,age,tenure,ammount_spent,vehicle,food,beverage,art,baby,personal_care,toys,clothing,decor,cell_phones,construction,home_appliances,electronics,sports,tools,games,industry,pc,jewel,books,music_books_movies,health
1,1764.62,34,2,230.31,0,2,2,1,0,2,0,1,0,4,3,0,2,0,0,2,0,2,0,0,3,2
0,162.21,65,0,142.41,0,2,3,0,3,0,1,3,0,1,1,1,4,3,0,3,1,3,0,0,2,2
0,42.33,26,1,103.19,0,0,0,1,2,0,2,4,1,2,0,1,2,1,0,2,2,5,1,2,1,1
0,12.41,31,0,10.25,0,0,1,0,1,1,0,1,2,3,1,2,1,0,1,0,0,2,3,1,2,2
1,1398.49,36,2,30.34,0,1,0,0,1,0,0,1,1,3,2,1,4,0,1,1,3,0,2,1,0,2
1,1088.87,68,0,78.16,0,2,0,0,1,0,0,4,0,1,1,1,0,1,0,2,1,3,1,1,3,1
1,1485.7,27,0,178.64,0,0,1,2,1,2,1,2,1,5,0,1,0,0,0,2,4,3,0,0,1,1
1,812.83,23,0,37.14,0,1,0,0,2,0,1,1,1,1,1,0,3,2,1,0,1,2,0,0,0,0
1,1091.01,46,0,182.87,0,0,0,2,1,2,1,1,0,3,1,1,1,2,0,2,1,2,0,0,1,2
1,2081.43,27,0,136.78,1,1,2,3,0,1,2,4,1,4,0,1,5,1,1,1,2,3,2,0,0,4
1,984.25,35,0,4.75,0,1,1,0,1,3,0,2,2,0,2,2,0,1,1,2,1,3,0,1,1,0
1,1755.68,37,1,28.81,0,1,1,0,0,1,2,2,5,3,2,2,5,0,1,1,1,4,3,1,0,2
0,1.75,30,0,0.68,0,0,0,3,3,2,0,2,1,1,1,2,0,0,1,2,0,3,0,2,3,5
1,1525.07,31,0,92.45,0,1,0,0,0,2,0,3,2,3,1,3,4,1,2,3,1,2,2,0,2,2
1,739.75,24,1,40.65,0,2,1,1,0,1,1,1,0,2,2,1,2,1,0,2,0,0,0,1,1,0
0,94.44,29,1,192.17,1,0,3,3,1,2,0,0,1,0,2,0,2,0,0,1,2,1,0,1,1,2
0,52.87,23,0,186.3,0,0,0,0,1,3,0,1,0,1,2,1,2,0,3,2,0,0,0,0,0,1
0,3.02,49,0,24.69,0,2,0,0,2,2,0,0,2,1,0,0,3,1,0,1,1,2,0,0,1,2
0,12.29,46,1,110.35,0,0,1,4,1,1,0,2,0,4,2,0,1,2,1,5,1,0,1,0,3,2
1,1517.05,28,0,61.8,0,2,0,2,1,0,1,2,1,3,1,1,3,1,0,2,0,4,1,3,0,4
0,27.64,49,0,32.06,0,1,1,2,1,0,2,1,3,1,2,1,1,0,3,1,0,3,1,1,0,3
1,1167.8,47,0,45,0,1,1,1,0,1,3,0,0,2,0,2,1,0,0,2,0,2,1,2,1,3
0,40.83,34,0,6.65,0,3,1,1,2,1,0,0,2,1,1,0,3,1,4,1,1,0,1,0,0,1
1,1232.8,41,0,4.05,0,1,0,1,1,2,1,1,0,4,0,2,1,0,1,0,2,3,2,0,1,2
0,96.55,42,0,29.9,0,4,1,1,1,0,2,1,0,2,2,0,1,1,0,3,0,2,0,1,1,2
1,1549.41,24,1,11.88,0,1,2,1,4,0,0,3,0,6,2,0,2,0,1,4,0,2,0,0,1,2
1,1264.5,28,1,1.02,0,0,1,2,1,1,3,0,0,3,0,1,4,0,0,3,0,3,2,1,1,2
0,582.56,34,0,317.97,0,1,0,1,3,2,1,3,1,5,2,0,2,1,1,0,1,3,1,2,2,3
1,1704.89,55,1,119.21,0,2,2,0,1,0,1,3,0,3,1,2,3,2,0,2,4,1,3,0,1,1
0,111.22,27,1,2.27,0,0,2,0,3,0,0,1,3,1,0,1,3,1,2,1,0,0,1,0,0,1
0,52.02,36,0,213.93,0,0,2,0,2,0,1,0,0,2,1,1,2,0,0,1,0,1,3,1,0,1
0,10.66,41,0,104.37,0,1,1,0,1,4,0,6,1,1,1,2,2,0,0,0,0,1,3,2,1,1
1,1632.92,61,1,151.99,1,0,0,2,3,1,0,3,1,5,1,2,1,3,1,1,0,2,1,1,0,2
0,163.09,53,0,224.03,0,2,2,0,1,0,0,0,0,4,2,3,1,0,0,3,0,0,1,1,1,2
0,2.43,34,1,21.58,0,1,1,2,0,1,1,3,3,6,1,2,0,2,0,1,1,2,1,1,0,1
1,1187.43,66,0,8.87,0,1,0,0,0,2,2,8,0,3,0,0,1,0,0,0,1,2,0,1,0,3
0,658.18,28,0,211.42,0,1,3,1,2,2,1,7,0,5,3,1,0,2,0,1,3,3,0,3,0,3
0,125.45,36,0,44.78,0,0,1,1,2,1,0,3,0,2,0,1,1,0,1,2,2,3,1,0,0,1
1,963.53,33,2,176.04,0,2,0,1,3,0,0,2,0,1,2,2,1,1,1,1,1,1,0,0,2,0
1,998.27,20,0,7.05,0,1,0,2,1,0,1,1,0,3,0,0,3,1,1,0,2,0,2,2,0,0
0,28.27,22,0,91.21,0,1,0,0,2,2,1,1,2,4,0,1,3,2,0,4,2,3,1,2,2,3
0,0.44,23,1,43.07,0,0,0,1,2,1,0,0,0,5,1,3,2,0,1,0,2,2,0,0,0,1
1,1191.92,28,0,3.57,0,0,0,1,3,0,0,1,1,7,1,2,4,0,1,3,0,1,1,2,0,0
0,76.92,40,1,89.36,0,2,0,1,3,2,0,3,1,3,2,0,2,1,0,2,2,4,0,2,1,1
1,1188.12,27,1,52.39,0,0,0,1,1,0,1,2,1,3,0,2,2,0,1,2,1,0,1,0,1,2
1,1028.69,32,0,59.68,0,1,0,0,0,0,0,2,1,3,2,3,1,1,1,1,2,2,1,0,0,1
0,58.3,60,1,20.7,0,2,0,1,1,2,0,1,0,3,1,2,0,1,3,1,1,2,0,1,0,3
1,1822.99,29,0,122.13,0,2,1,1,1,2,1,2,4,2,0,2,4,1,3,1,2,1,2,2,0,2
1,952.91,29,3,193.58,0,0,0,0,1,1,2,1,1,4,0,1,0,2,2,3,1,3,0,1,0,0
1,1518.35,25,1,19.13,1,2,2,1,0,1,0,2,1,3,0,0,2,5,3,3,1,1,1,1,2,1
0,14.89,34,1,28.38,0,0,2,0,1,1,1,1,1,3,2,1,1,2,0,1,1,2,0,2,0,0
1,1430.74,53,1,83.8,0,2,3,1,1,2,1,1,1,5,1,1,3,0,1,2,1,2,1,1,0,1
0,284.87,32,0,264.59,0,0,0,2,0,1,1,1,0,3,1,1,0,1,1,4,0,3,0,2,3,1
0,56.41,46,1,191.53,0,1,0,0,1,2,0,3,0,2,1,2,2,1,1,4,0,1,1,0,1,1
1,2065.52,38,0,11.24,1,2,3,2,0,0,4,0,4,2,1,0,1,3,1,4,0,4,0,1,4,3
1,661.06,35,0,157.45,0,1,0,0,0,0,0,2,2,0,0,1,5,0,0,1,0,3,0,0,1,1
1,1114.19,62,0,37.6,0,1,0,0,0,3,0,0,0,3,3,0,2,2,0,3,2,4,1,0,0,1
0,24.97,29,0,24.23,0,0,1,0,1,0,0,3,0,2,3,1,1,2,2,3,0,3,1,1,4,2
0,27.44,26,0,33.8,0,0,1,0,1,1,0,1,4,4,2,4,4,0,0,7,0,1,1,2,0,0
0,48.35,29,2,37.06,0,1,2,1,0,2,1,2,0,2,1,0,5,0,0,4,2,1,2,0,0,1
1,1150.13,47,1,2.11,0,1,2,2,0,1,0,1,1,5,1,1,2,0,0,1,0,3,1,2,1,1
1,1504.33,26,0,159.25,0,2,1,1,0,1,1,1,1,5,0,1,4,1,0,3,2,2,2,2,0,2
0,437.22,24,0,486.89,0,1,3,0,0,0,0,3,0,4,0,1,2,1,0,0,1,3,0,0,1,2
1,1433.06,50,0,267.16,0,0,0,0,0,1,0,1,2,5,2,1,2,1,2,4,1,2,2,1,0,2
1,1096.51,58,0,432.06,0,1,0,2,0,1,0,2,0,4,0,0,1,2,1,3,1,2,1,0,0,2
1,1446.14,39,0,315.03,0,4,1,2,0,1,2,2,0,0,0,0,2,3,1,2,2,2,3,1,1,2
0,18.16,39,1,19.56,0,1,1,3,1,0,0,3,0,4,2,1,1,0,0,2,0,5,2,0,3,3
1,1868.68,36,1,3.92,0,3,3,1,0,3,1,3,1,3,2,0,3,0,0,2,2,4,1,1,4,2
0,256.06,40,1,71.25,0,0,2,1,0,0,1,3,2,5,0,3,3,4,2,0,1,1,2,1,1,2
0,46.11,41,2,74.26,1,1,0,1,2,0,0,2,0,1,0,0,1,1,1,0,4,1,1,1,2,1
1,1530.12,40,0,6.81,0,1,1,1,0,0,2,1,1,3,2,0,2,0,1,1,1,3,1,2,2,4
1,939.12,29,1,76.03,0,1,2,0,0,2,1,2,0,3,0,2,2,1,0,2,2,2,0,0,0,0
1,1520.2,51,0,64.75,0,1,0,3,1,2,1,2,0,8,0,0,2,1,3,5,0,0,1,1,3,1
0,51.49,35,1,130.66,0,3,0,2,1,0,1,3,1,2,0,0,2,5,0,1,0,1,1,1,0,3
0,181.42,58,0,119.63,0,0,0,0,0,3,1,0,0,3,3,1,2,3,1,2,1,0,1,1,2,2
0,52.74,42,1,86.05,0,1,0,1,0,2,1,1,0,2,0,1,2,1,0,0,1,3,1,0,1,0
0,7.12,38,0,17.04,0,1,1,2,0,2,0,1,1,6,0,0,0,1,2,3,1,1,3,0,0,2
1,1184.01,25,0,87,1,2,0,3,1,0,0,2,0,3,1,0,3,1,0,0,1,0,2,0,0,1
1,1466.7,57,0,30.44,0,1,3,2,1,1,0,3,2,4,2,0,3,1,1,7,1,3,0,1,0,0
0,238.39,53,1,244.05,0,0,1,0,0,2,1,2,1,3,0,1,3,2,2,0,1,1,0,0,2,2
1,1408.48,32,0,341.21,0,1,0,1,1,1,2,2,0,4,1,1,3,3,1,1,1,1,1,0,0,1
0,117.2,29,1,77.39,0,1,2,0,1,1,0,2,0,4,1,1,2,2,1,6,0,4,0,2,1,4
0,1.62,40,0,26.37,0,2,2,0,2,0,0,3,0,2,2,1,3,1,0,0,0,1,2,0,3,3
1,967.05,44,0,32.58,0,1,2,1,0,1,0,1,0,0,0,2,2,1,1,1,1,1,0,0,3,1
1,919.59,55,1,263.75,0,1,1,0,0,1,1,1,0,3,1,2,2,0,1,1,1,0,1,0,0,2
0,30.91,24,0,145.24,0,1,0,0,0,1,1,3,1,0,0,0,2,0,1,1,1,5,3,2,2,0
0,61.9,32,0,331.58,0,0,0,2,1,2,1,3,0,1,1,2,4,0,0,2,0,0,0,2,1,0
1,1541.07,53,1,67.44,0,1,1,0,2,0,2,1,1,3,0,3,2,1,0,2,3,1,2,1,0,3
0,249.67,50,1,45.32,0,2,0,0,1,2,0,2,2,3,1,1,2,0,0,5,0,2,1,2,1,5
1,910.79,32,0,322.41,0,1,0,3,0,2,2,2,1,2,0,0,0,1,1,0,1,0,0,0,0,2
0,105.61,45,0,12.46,0,1,0,0,0,0,0,0,1,6,0,1,2,0,0,3,1,2,1,2,0,3
1,1606.85,35,0,31.79,0,1,1,0,2,0,4,2,0,5,2,2,3,2,2,2,0,2,1,0,0,2
0,132.96,70,0,101.22,0,0,0,1,2,1,1,4,1,2,1,3,0,2,0,2,0,3,0,0,0,6
1,1489.44,24,0,73.39,0,3,0,2,1,2,1,3,0,3,2,3,1,0,1,0,1,1,0,2,2,2
0,50.72,45,0,122.95,0,1,0,3,1,1,1,2,0,2,3,1,2,1,1,4,0,3,2,0,1,1
0,36.5,24,0,103.42,1,1,0,2,1,4,0,2,1,5,1,3,5,2,1,1,0,3,0,0,2,4
0,115.12,49,4,21.07,0,0,1,1,2,1,1,1,1,1,0,0,0,2,2,2,1,1,1,2,1,2
0,83.84,45,1,83.56,0,2,3,1,0,1,0,2,0,4,2,1,1,0,3,4,1,0,0,0,1,3
0,44.45,51,1,0.03,0,3,2,2,1,1,0,4,0,3,6,1,4,0,2,2,0,2,2,2,1,5
1,1289.36,39,0,97.29,0,1,2,3,2,1,1,1,0,0,0,2,5,2,2,1,1,5,1,0,0,0
1,1496.28,28,0,75.96,0,0,0,1,5,1,0,2,1,2,0,1,1,2,3,0,4,1,0,0,1,1
1,1840.01,31,1,85.3,0,0,1,0,3,0,2,3,0,6,0,3,3,1,0,2,0,1,2,1,3,3
0,20.9,29,0,126.87,0,2,0,1,0,2,2,3,1,4,1,0,0,3,1,1,1,2,2,0,4,3
1,1632.1,40,0,86.57,0,1,0,1,1,0,1,0,2,5,0,1,5,0,3,3,1,2,2,1,0,4
0,6.64,54,0,1.72,0,2,1,1,3,2,2,2,0,1,2,1,2,4,1,3,1,4,0,0,3,1
0,31.08,30,1,146.26,0,0,2,0,0,0,2,2,0,3,0,0,0,0,1,5,2,1,0,1,2,0
1,1722.59,33,1,42.37,0,0,1,0,2,1,1,1,2,5,1,1,2,2,2,2,0,0,0,2,3,3
0,303.93,51,1,7.24,0,1,0,0,0,0,1,4,1,3,0,0,1,1,0,2,1,2,0,1,1,1
0,41.71,46,0,58.24,0,1,0,2,1,2,2,1,1,4,1,1,3,0,3,2,3,1,1,0,1,3
1,1552.47,33,0,54.47,0,0,1,3,0,0,1,1,1,4,2,1,2,0,0,2,2,1,5,2,1,1
1,1566.94,48,0,0.93,0,2,0,2,1,0,0,3,1,2,2,0,4,0,1,2,1,1,0,0,4,4
1,2251.09,21,1,149.55,1,3,4,0,2,2,2,6,2,6,2,1,3,4,1,0,0,3,0,2,0,0
0,17.27,46,0,99.09,0,1,0,0,1,1,2,6,0,8,4,0,2,0,2,0,0,1,1,1,1,0
1,1599.82,57,0,73.38,0,3,2,0,1,1,0,0,1,4,3,1,4,1,1,1,1,1,1,0,0,4
0,159.81,39,0,322.26,0,3,2,0,0,0,1,0,1,1,2,2,4,0,0,2,1,4,0,3,1,0
1,1514.39,26,1,18.02,0,2,0,1,0,2,2,2,1,6,0,3,1,0,3,1,2,3,1,1,0,3
1,1267.24,29,0,31.33,0,1,0,0,2,1,1,3,0,0,0,2,4,1,1,5,2,3,1,0,1,2
1,1343.47,32,1,41.33,0,0,0,2,0,2,3,1,1,3,2,0,2,1,4,3,1,1,0,2,2,1
1,1983.59,30,1,103.35,0,1,1,0,2,3,1,2,4,7,3,1,2,2,2,5,0,2,1,1,1,2
1,1287.34,56,0,56.36,0,1,1,0,1,0,0,1,0,4,0,1,2,0,1,3,2,6,1,2,2,0
1,1357.59,27,0,279.92,0,1,0,0,1,0,2,1,2,2,3,0,2,1,0,3,1,3,3,2,0,1
0,111.84,32,1,19.15,0,0,0,1,0,1,2,0,0,3,3,0,1,0,4,2,1,1,0,1,1,3
1,1165.46,25,1,83.19,0,1,1,1,1,2,0,1,1,4,0,0,4,1,0,5,0,0,0,1,1,2
0,161.14,36,1,190.71,0,1,1,0,2,0,0,2,0,2,0,0,1,0,0,0,1,3,0,0,1,0
1,1964.59,32,1,65.96,0,0,3,1,1,1,1,2,1,3,1,1,6,3,4,2,4,2,0,1,1,2
0,77,35,0,123.18,0,1,1,1,2,1,1,0,0,3,0,0,3,1,0,1,2,2,1,2,0,2
0,118.35,45,1,33.48,0,1,1,1,1,1,0,2,3,2,1,0,2,1,0,4,0,2,0,0,2,2
1,1189.04,33,1,192.9,0,0,2,0,0,0,0,3,2,0,1,1,1,0,1,0,2,1,1,0,0,4
1,1560.38,59,0,10.51,0,2,0,3,0,1,1,2,2,2,1,0,3,1,2,1,1,1,3,3,1,2
0,137.07,36,1,67.56,0,1,2,0,4,0,1,2,0,3,0,0,1,3,2,4,1,2,1,0,2,4
0,7.6,25,0,16.42,0,1,0,1,1,4,0,1,2,3,1,0,0,0,2,3,1,3,1,3,0,1
0,69.64,35,1,449.32,1,0,0,5,2,0,2,4,2,2,2,1,2,0,1,1,1,3,1,1,3,1
1,1224.65,41,0,22.22,0,4,2,2,1,2,0,2,0,2,2,2,2,0,1,4,1,1,0,1,1,1
